n, time
46200,2.475
46300,2.156
46400,2.487
46500,2.186
46600,1.903
46700,1.903
46800,1.884
46900,1.872
47000,1.911
47100,1.922
47200,1.936
47300,1.932
47400,1.909
47500,1.957
47600,1.952
47700,1.947
47800,2.11
47900,1.966
48000,1.979
48100,1.999
48200,1.979
48300,1.976
48400,1.977
48500,1.998
48600,2.038
48700,2.096
48800,2.015
48900,2.051
49000,2.028
49100,2.043
49200,2.038
49300,2.105
49400,2.072
49500,2.122
49600,2.112
49700,2.127
49800,2.106
49900,2.096
50000,2.132
50100,2.166
50200,2.13
50300,2.138
50400,2.171
50500,2.204
50600,2.22
50700,2.197
50800,2.189
50900,2.206
51000,2.217
51100,2.193
51200,2.217
51300,2.29
51400,2.271
51500,2.257
51600,2.31
51700,2.263
51800,2.285
51900,2.327
52000,2.308
52100,2.352
52200,2.318
52300,2.399
52400,2.403
52500,2.476
52600,2.543
52700,2.628
52800,2.373
52900,2.363
53000,2.37
53100,2.405
53200,2.39
53300,2.439
53400,2.423
53500,2.438
53600,2.465
53700,2.445
53800,2.458
53900,2.506
54000,2.547
54100,2.477
54200,2.494
54300,2.51
54400,2.5
54500,2.517
54600,2.523
54700,2.59
54800,2.56
54900,2.569
55000,2.615
55100,2.595
55200,2.612
55300,2.723
55400,2.653
55500,2.682
55600,2.673
55700,2.712
55800,2.732
55900,2.73
56000,2.701
56100,2.664
56200,2.72
56300,2.735
56400,2.716
56500,2.689
56600,2.687
56700,2.717
56800,2.76
56900,2.765
57000,2.791
57100,2.769
57200,2.868
57300,2.872
57400,2.807
57500,2.787
57600,2.814
57700,2.82
57800,2.824
57900,2.856
58000,2.876
58100,2.87
58200,2.92
58300,2.911
58400,2.887
58500,2.908
58600,2.909
58700,2.942
58800,2.917
58900,2.956
59000,2.945
59100,2.977
59200,3.003
59300,2.962
59400,2.989
59500,3.039
59600,3.054
59700,3.03
59800,3.097
59900,3.08
60000,3.03
60100,3.078
60200,3.033
60300,3.068
60400,3.063
60500,3.072
60600,3.08
60700,3.116
60800,3.163
60900,3.231
61000,3.185
61100,3.229
61200,3.217
61300,3.092
61400,3.114
61500,3.11
61600,3.126
61700,3.141
61800,3.142
61900,3.156
62000,3.174
62100,7.297
62200,4.435
62300,3.199
62400,3.76
62500,3.299
62600,3.241
62700,3.214
62800,3.266
62900,3.244
63000,3.255
63100,3.237
63200,3.259
63300,3.251
63400,3.275
63500,3.306
63600,3.295
63700,3.306
63800,3.359
63900,3.336
64000,3.353
64100,3.39
64200,3.357
64300,3.369
64400,3.403
64500,3.432
64600,3.555
64700,4.696
64800,7.828
64900,5.628
65000,5.319
65100,5.369
65200,3.955
65300,5.026
65400,4.741
65500,4.375
65600,3.932
65700,3.888
65800,3.574
65900,3.998
66000,5.133
66100,4.63
66200,4.641
66300,4.504
66400,4.102
66500,4.403
66600,4.576
66700,4.495
66800,4.545
66900,4.261
67000,4.621
67100,4.558
67200,4.59
67300,4.775
67400,4.659
67500,4.657
67600,4.737
67700,4.617
67800,4.905
67900,4.852
68000,4.742
68100,4.917
68200,5.897
68300,6.361
68400,5.465
68500,5.198
68600,5.197
68700,5.497
68800,5.322
68900,6.56
69000,4.926
69100,6.441
69200,5.194
69300,4.886
69400,4.893
69500,4.834
69600,4.909
69700,5.001
69800,4.939
69900,4.957
70000,4.989
70100,5.02
70200,4.992
70300,5.167
70400,5.018
70500,4.991
70600,5.19
70700,5.138
70800,5.259
70900,6.305
71000,5.165
71100,5.105
71200,5.09
71300,5.031
71400,5.319
71500,5.29
71600,6.32
71700,5.301
71800,5.309
71900,5.359
72000,5.301
72100,5.359
72200,5.28
72300,5.37
72400,5.36
72500,5.53
72600,6.052
72700,5.468
72800,5.39
72900,5.452
73000,5.369
73100,5.473
73200,5.458
73300,5.469
73400,5.479
73500,5.551
73600,5.478
73700,5.465
73800,5.484
73900,5.567
74000,5.622
74100,5.707
74200,5.541
74300,5.649
74400,6.633
74500,5.534
74600,5.516
74700,5.879
74800,5.38
74900,5.037
75000,4.699
75100,4.663
75200,4.718
75300,4.704
75400,4.687
75500,4.687
75600,4.658
75700,4.734
75800,4.803
75900,4.975
76000,4.814
76100,4.78
76200,5.897
76300,6.171
76400,6.962
76500,6
76600,6.005
76700,6.048
76800,6.001
76900,5.984
77000,5.931
77100,5.899
77200,5.956
77300,5.989
77400,6.031
77500,6.019
77600,6.081
77700,6.253
77800,6.193
77900,6.134
78000,6.251
78100,6.287
78200,6.696
78300,6.528
78400,6.296
78500,5.64
78600,5.416
78700,6.416
78800,6.414
78900,6.58
79000,6.375
79100,6.939
79200,6.488
79300,6.377
79400,7.207
79500,6.56
79600,6.334
79700,6.702
79800,5.959
79900,6.887
80000,6.615
80100,6.614
80200,6.65
80300,6.622
80400,6.76
80500,6.76
80600,6.713
80700,6.797
80800,6.725
80900,6.772
81000,6.918
81100,7.949
81200,6.842
81300,6.838
81400,6.928
81500,6.902
81600,6.891
81700,6.88
81800,7.45
81900,6.913
82000,7.167
82100,6.919
82200,7.112
82300,7.017
82400,6.344
82500,6.2
82600,6.199
82700,6.352
82800,6.347
82900,6.274
83000,6.113
83100,7.096
83200,7.122
83300,7.171
83400,7.14
83500,7.323
83600,7.325
83700,6.913
83800,6.771
83900,6.482
84000,6.477
84100,6.51
84200,6.618
84300,6.401
84400,6.336
84500,6.217
