n, time
46300,2.168
46400,2.365
46500,2.388
46600,2.185
46700,2.175
46800,2.251
46900,2.212
47000,2.225
47100,2.436
47200,2.496
47300,2.37
47400,2.44
47500,2.154
47600,2.572
47700,2.222
47800,2.186
47900,2.206
48000,2.157
48100,2.216
48200,2.764
48300,2.517
48400,2.667
48500,2.615
48600,2.615
48700,2.518
48800,2.49
48900,2.291
49000,2.486
49100,2.475
49200,2.452
49300,2.338
49400,2.411
49500,2.277
49600,2.549
49700,2.475
49800,2.636
49900,2.662
50000,2.696
50100,3.22
50200,3.115
50300,3.436
50400,2.621
50500,2.653
50600,2.552
50700,2.422
50800,2.424
50900,2.42
51000,2.409
51100,2.416
51200,2.436
51300,2.457
51400,2.421
51500,2.465
51600,2.448
51700,2.465
51800,2.457
51900,2.478
52000,2.563
52100,2.538
52200,2.517
52300,2.539
52400,2.864
52500,2.695
52600,2.736
52700,3.006
52800,2.749
52900,2.596
53000,2.741
53100,3.186
53200,3.117
53300,3.203
53400,3.073
53500,2.929
53600,3.126
53700,3.092
53800,2.997
53900,3.175
54000,3.205
54100,3.043
54200,3.594
54300,3.08
54400,3.114
54500,3.366
54600,3.252
54700,3.404
54800,3.297
54900,3.218
55000,3.282
55100,3.391
55200,3.421
55300,3.309
55400,3.316
55500,3.555
55600,3.296
55700,3.432
55800,3.336
55900,3.446
56000,3.396
56100,3.519
56200,3.173
56300,3.456
56400,3.375
56500,3.342
56600,3.403
56700,3.274
56800,3.479
56900,3.375
57000,3.585
57100,3.53
57200,3.768
57300,3.654
57400,3.589
57500,3.797
57600,3.5
57700,3.681
57800,3.355
57900,3.477
58000,3.663
58100,3.433
58200,3.651
58300,3.474
58400,3.352
58500,3.304
58600,3.36
58700,3.472
58800,3.573
58900,3.56
59000,3.466
59100,3.509
59200,3.606
59300,3.519
59400,3.52
59500,3.64
59600,3.7
59700,3.959
59800,3.902
59900,3.584
60000,3.894
60100,3.757
60200,3.738
60300,3.526
60400,3.736
60500,3.983
60600,3.677
60700,3.924
60800,3.538
60900,4.041
61000,3.755
61100,3.785
61200,3.655
61300,3.682
61400,3.688
61500,3.76
61600,3.896
61700,4.174
61800,3.835
61900,3.664
62000,3.834
62100,3.935
62200,4.018
62300,3.834
62400,3.892
62500,4.123
62600,4.188
62700,3.953
62800,3.856
62900,3.872
63000,4.156
63100,4.49
63200,4.047
63300,4.088
63400,4.015
63500,4.241
63600,3.959
63700,3.896
63800,3.881
63900,4.058
64000,4.241
64100,4.248
64200,4.389
64300,4.356
64400,4.046
64500,4.461
64600,4.482
64700,4.443
64800,4.473
64900,4.582
65000,4.609
65100,4.428
65200,4.42
65300,4.46
65400,4.318
65500,4.574
65600,4.182
65700,4.321
65800,4.672
65900,4.186
66000,4.363
66100,4.74
66200,4.111
66300,4.48
66400,4.747
66500,5.002
66600,4.811
66700,4.553
66800,4.836
66900,4.796
67000,4.376
67100,4.452
67200,4.447
67300,4.761
67400,4.609
67500,4.565
67600,4.368
67700,4.307
67800,4.322
67900,4.575
68000,4.753
68100,4.761
68200,4.608
68300,4.536
68400,4.784
68500,4.625
68600,4.965
68700,5.097
68800,4.699
68900,4.95
69000,4.996
69100,4.72
69200,4.873
69300,4.867
69400,4.852
69500,4.742
69600,4.897
69700,5.327
69800,5.245
69900,4.908
70000,5.308
70100,4.924
70200,5.015
70300,5.041
70400,4.995
70500,5.285
70600,4.89
70700,4.927
70800,5.073
70900,4.897
71000,5.42
71100,5.548
71200,5.08
71300,5.64
71400,5.493
71500,5.256
71600,5.199
71700,5.237
71800,5.161
71900,5.02
72000,5.032
72100,5.73
72200,5.813
72300,5.195
72400,5.015
72500,5.274
72600,5.665
72700,5.215
72800,5.26
72900,5.332
73000,5.251
73100,5.391
73200,5.236
73300,5.425
73400,5.934
73500,5.272
73600,5.255
73700,5.387
73800,5.55
73900,5.759
74000,5.58
74100,5.542
74200,5.492
74300,5.711
74400,5.419
74500,5.515
74600,5.899
74700,6.575
74800,5.913
74900,5.639
75000,5.496
75100,5.41
75200,5.359
75300,6.028
75400,5.637
75500,5.926
75600,5.688
75700,5.673
75800,5.653
75900,5.903
76000,5.979
76100,5.967
76200,5.684
76300,5.97
76400,5.916
76500,5.705
76600,6.283
76700,6.124
76800,5.866
76900,6.147
77000,5.979
77100,6.166
77200,6.568
77300,6.468
